CustomerID,ReturnDate,ReturnSales,OrderID
DAIL801   ,20160913,"$1,745.18 ",01145P1LZRQ 
DAILW27607,20150219,"$1,138.44 ",02145P3TPMO 
DAINS44501,20150126,$293.29 ,12284H4HKCO 
DALAA875Z9,20160202,$0.00 ,05035C7QTWR 
DALBA93181,20150121,$0.00 ,01195PVNNRB 
DALBA93181,20150120,$129.75 ,01195PVNNRB 
DALTL15824,20150428,$770.21 ,04195M4MFWV 
DALYM23250,20150206,$206.57 ,011850JNBFM 
DAMAF83815,20150130,$25.68 ,01255E8PBEZ 
DAMAK49592,20150618,$190.26 ,05225J2VKVK 
DAMAM13209,20150206,$583.15 ,01315E1QKYV 
DAMBA29611,20151224,$187.21 ,04295E5PUMX 
DAMBM17913,20150427,$0.00 ,04225KVMXBI 
DAMED473Z9,20150630,"$1,770.45 ",05075E5RRDA 
DAMID20144,20150221,$317.00 ,01075D2KDVV 
DAMII64159,20150414,$506.52 ,0313503BQYAA
DANTC61477,20150504,$144.16 ,04265K7ORTF 
DANTJ36510,20150328,"$1,845.54 ",02185H5VCFW 
DANZH28585,20150117,$999.69 ,12264C6GPJL 
DANZL27501,20150218,$627.66 ,01055H2JSHP 
DANZR45251,20150526,"$1,834.92 ",051750HUEVB 
DAPOP17494,20160706,$859.31 ,05225C9VPGU 
DAPPL826Z1,20151019,$256.75 ,04025N4HRDA 
DAQUC22195,20150720,$0.00 ,05105E4SKXI 
DARAS57832,20150604,$382.36 ,05255H8WVEK 
DARBM35580,20150515,"$1,088.64 ",05065G4ROGB 
DARCA23516,20150522,$456.19 ,05185W2UGWI 
DARCA23516,20150702,$210.62 ,05185W2UGWI 
DARCW33540,20150214,"$2,106.22 ",02045L1RFWH 
DARDD71060,20150407,$255.94 ,03295W2GTTM 
DARII24259,20150429,$107.25 ,04255L2OJYM 
DARIY15800,20150407,$249.81 ,02045G1RBPN 
DARKG81854,20150605,"$1,039.94 ",05304K5YYWJ 
DARLS28209,20150504,"$2,206.35 ",02145K8TTUYA
DAUKM59139,20150317,$560.52 ,0304503YYBM 
DAURG13102,20150202,$263.94 ,01315L4QKLS 
DAUTM87257,20150515,$705.51 ,05055H3RHAW 
DAVEB32964,20150227,"$1,049.40 ",02165K4UKSH 
DAVEJ91319,20150214,$366.15 ,01185E1NDPH 
DAVEM80582,20150508,$508.80 ,04265K9OOYI 
DAVIA40402,20151016,$924.35 ,02215H3WBAF 
DAVIA51421,20150312,$266.06 ,030750JZYND 
DAVIB30950,20150213,$475.15 ,0111503LJJR 
DAVIC23753,20150503,$167.25 ,042550JOHJD 
DAVIS71114,20160116,$445.48 ,03185K7DITE 
DAVIS91116,20150602,"$1,230.12 ",04105R2JVIK 
DAVIT24689,20150216,$992.89 ,02115T1SZFT 
DAVIW26050,20150113,$216.00 ,01055R3JUWF 
DAVIZ98691,20151014,"$3,038.32 ",0126509PEZN 
DAVYG71362,20150508,"$1,329.38 ",03185C5DKAJ 
DAWAB23085,20150223,$0.00 ,02105L3SORM 
DAWNG91942,20150427,$828.87 ,04065H5IQBL 
DAWSD86084,20150213,$609.51 ,01105M4LAVX 
DAY9D14351,20150423,$216.00 ,0412502KKRY 
DECAS40050,20150207,"$1,171.98 ",01195C2NLCX 
DECAS47033,20150402,$158.95 ,03295L2GPMN 
DECIE98462,20160528,$938.01 ,02275C5XPII 
DECIV17316,20160320,"$2,098.14 ",01225E4OHMH 
DECKH26265,20150602,"$1,210.97 ",05095T1SHGW 
DECKP31787,20150321,$539.95 ,02275W2XMOT 
DECOA36604,20150509,$229.95 ,04245R3NQXI 
DECOA36604,20150511,$0.00 ,04245R3NQXI 
DEDIK33061,20150227,"$1,411.02 ",02165H7ULLJ 
